geography_key,city,state,country,region,market,regional_manager,discount_regime,has_return_data,fixed_discount_rate
United States|East,New York City,New York,United States,East,US,Kelly Williams,Variable,True,
Australia|Oceania,Wollongong,New South Wales,Australia,Oceania,APAC,Anthony Jacobs,Variable,True,
Germany|Central,Berlin,Berlin,Germany,Central,EU,Anna Andreadi,Variable,True,
Senegal|Africa,Dakar,Dakar,Senegal,Africa,Africa,Deborah Brumfield,Zero discount,False,
New Zealand|Oceania,Porirua,Wellington,New Zealand,Oceania,APAC,Anthony Jacobs,Variable,True,
United States|West,Sacramento,California,United States,West,US,Matt Collister,Variable,True,
United States|South,Concord,North Carolina,United States,South,US,Chuck Magee,Variable,True,
Afghanistan|Central Asia,Kabul,Kabul,Afghanistan,Central Asia,APAC,Nora Preis,Zero discount,True,
Saudi Arabia|EMEA,Jizan,Jizan,Saudi Arabia,EMEA,EMEA,,Zero discount,False,
Brazil|South,Toledo,Parana,Brazil,South,LATAM,Chuck Magee,Variable,True,
China|North Asia,Mudanjiang,Heilongjiang,China,North Asia,APAC,Shirley Daniels,Zero discount,True,
France|Central,Paris,Ile-de-France,France,Central,EU,Anna Andreadi,Variable,True,
Italy|South,Prato,Tuscany,Italy,South,EU,Chuck Magee,Variable,True,
Tanzania|Africa,Uvinza,Kigoma,Tanzania,Africa,Africa,Deborah Brumfield,Variable,False,
Poland|EMEA,Bytom,Silesia,Poland,EMEA,EMEA,,Zero discount,False,
United States|Central,Chicago,Illinois,United States,Central,US,Anna Andreadi,Variable,True,
United Kingdom|North,Edinburgh,Scotland,United Kingdom,North,EU,Jack Lebron,Variable,True,
Mexico|North,Juárez,Chihuahua,Mexico,North,LATAM,Jack Lebron,Variable,True,
El Salvador|Central,Soyapango,San Salvador,El Salvador,Central,LATAM,Anna Andreadi,Zero discount,True,
Taiwan|North Asia,Taipei,Taipei City,Taiwan,North Asia,APAC,Shirley Daniels,Zero discount,True,
India|Central Asia,Surat,Gujarat,India,Central Asia,APAC,Nora Preis,Zero discount,True,
Dominican Republic|Caribbean,Santo Domingo,Santo Domingo,Dominican Republic,Caribbean,LATAM,Giulietta Dortch,Variable,True,
Democratic Republic of the Congo|Africa,Kamina,Katanga,Democratic Republic of the Congo,Africa,Africa,Deborah Brumfield,Zero discount,False,
Indonesia|Southeast Asia,Mataram,Nusa Tenggara Barat,Indonesia,Southeast Asia,APAC,Alejandro Ballentine,Variable,True,
Uruguay|South,Paysandú,Paysandú,Uruguay,South,LATAM,Chuck Magee,Zero discount,True,
Iran|EMEA,Behshahr,Mazandaran,Iran,EMEA,EMEA,,Zero discount,False,
Mozambique|Africa,Maputo,Cidade De Maputo,Mozambique,Africa,Africa,Deborah Brumfield,Zero discount,False,
Bangladesh|Central Asia,Dhaka,Dhaka,Bangladesh,Central Asia,APAC,Nora Preis,Zero discount,True,
Spain|South,Seville,Andalusía,Spain,South,EU,Chuck Magee,Variable,True,
Ukraine|EMEA,Kharkiv,Kharkiv,Ukraine,EMEA,EMEA,,Zero discount,False,
Nicaragua|Central,Chinandega,Chinandega,Nicaragua,Central,LATAM,Anna Andreadi,Zero discount,True,
Morocco|Africa,Meknes,Meknès-Tafilalet,Morocco,Africa,Africa,Deborah Brumfield,Zero discount,False,
Canada|Canada,Montréal,Quebec,Canada,Canada,Canada,Nicole Hansen,Zero discount,False,
Philippines|Southeast Asia,Manila,National Capital,Philippines,Southeast Asia,APAC,Alejandro Ballentine,Variable,True,
Austria|Central,Graz,Styria,Austria,Central,EU,Anna Andreadi,Zero discount,True,
